,GRUPO/FAMILIA,CODIGO,EQUIPO,
,MOLDAJES EURO,888810,ADAPTADOR ALLSTEEL EURO PANEL,
,LOSA PLACA,501624,ALZAPRIMA L 1600-2400 (PERI),
,LOSA PLACA,501831,ALZAPRIMA L 1600-2500,
,LOSA PLACA,501835,ALZAPRIMA L 1800-3000,
,LOSA PLACA,501832,ALZAPRIMA L 1800-3200,
,LOSA PLACA,501833,ALZAPRIMA L 1800-3200 (GRUENCO),
,LOSA PLACA,501834,ALZAPRIMA L 1800-3200 (GRUENCO AMAR),
,LOSA PLACA,511832,ALZAPRIMA L 1800-3200 (REALZAPR.),
,LOSA PLACA,501830,ALZAPRIMA L 2000-3400 (AND),
,LOSA PLACA,502135,ALZAPRIMA L 2100-3500(GRUENCO),
,LOSA PLACA,502550,ALZAPRIMA L 2500-5000,
,LOSA PLACA,501836,ALZAPRIMA GALVANIZADA L 2500-4600,
,LOSA PLACA,505000,ALZAPRIMA L 3000-4300,
,LOSA PLACA,503050,ALZAPRIMA AMARILLA L 3000-5000,
,LOSA PLACA,503051,ALZAPRIMA GALVANIZADA  L 3000-5000.,
,LOSA PLACA,501837,ALZAPRIMA L 3000-5000 AND,
,ACCESORIOS,888829,ANGULO 40X40X150,
,MOLDAJES EURO,888809,APLOMADOR EURO,
,MOLDAJES EURO,888814,APLOMADOR EURO CON CONECTOR EURO-TUERC. 12 MM,
,MOLDAJES EURO,888812,APLOMADOR EURO CON CONECTOR SOLD.,
,MOLDAJES ALL STEEL,888819,APLOMADOR EURO CON TUERCA INCOS L1800X3200,
,MOLDAJES ALL STEEL,611015,APLOMADOR L 1000-1500 (PATA PATA),
,MOLDAJES ALL STEEL,611016,APLOMADOR L 1000-1500 (U),
,MOLDAJES ALL STEEL,888818,APLOMADOR EURO INCOS L1800-3200,
,MOLDAJES ALL STEEL,200003,APLOMADOR L 1800-3200 ALL STEEL ( U ),
,MOLDAJES ALL STEEL,200001,APLOMADOR L 1800-3200 ALL STEEL (PATA-PATA),
,MOLDAJES ALL STEEL,612000,APLOMADOR L 2000 (PATA PATA),
,MOLDAJES ALL STEEL,612001,APLOMADOR L 2000 (U),
,MOLDAJES ALL STEEL,613000,APLOMADOR L 3000-5000 (PATA PATA),
,MOLDAJES ALL STEEL,613180,APLOMADOR MACHO (PATA) L=1800,
,MOLDAJES ALL STEEL,613500,APLOMADOR MACHO (PATA) L=3500,
,MOLDAJES EURO,880001,APLOMADOR PATA PATA-EURO L 1000-1500,
,MOLDAJES EURO,888815,APLOMADOR PATA PATA-EURO L 2000,
,ACCESORIOS,011011,ATRIL METALICO ANDEC.,
,ACCESORIOS,000110,ATRIL METALICO GRUENCO,
,ACCESORIOS,011000,ATRIL METALICO INCOS,
,ACCESORIOS,000111,ATRIL METALICO (AND),
,ANDAMIOS MULTIDIRECCIONAL,172000,BARANDA DE PASO DOBLE,
,ANDAMIOS MULTIDIRECCIONAL,170720,BARANDA LATERAL,
,LOSA PLACA,170721,BARANDA PROTECCION,
,ANDAMIOS MULTIDIRECCIONAL,171720,BARANDA TERMINO FRONTAL,
,ANDAMIOS MULTIDIRECCIONAL,100500,BASE INICIO,
,MOLDAJES ALL STEEL,800000,BOTON PLASTICO ALL STELL (EXCLUSIVO VENTA),
,MOLDAJES EURO,900000,BOTON PLASTICO EURO (EXCLUSIVO VENTA),
,ACCESORIOS,888823,BOX-OUT,
,ANDAMIOS MULTIDIRECCIONAL,171726,CABEZAL 1.05M,
,LOSA PLACA,729001,CABEZAL DOBLE,
,LOSA PLACA,729004,CABEZAL DOBLE VIGA METALICA,
,LOSA PLACA,729002,CABEZAL SIMPLE,
,ACCESORIOS,011101,CAJON DE MADERA GRANDE,
,MURO CONTRATERRENO ALLSTEEL,601053,CANAL ALINEADOR 100x50x3000,
,ACCESORIOS,020000,CANASTILLO METAL. INCOS 90X80X80,
,ACCESORIOS,010000,CANASTILLO METALICO INCOS,
,MOLDAJES EURO,888804,CERROJO REGULABLE,
,MOLDAJES EURO,888822,CHAVETA APLOMADOR,
,MOLDAJES EURO,888805,CONECTOR APLOMADOR,
,MURO CONTRATERRENO ALLSTEEL,300002,CONECTOR DOBLE CANAL,
,MOLDAJES EURO,888811,CONECTOR EURO (TRES EN UNO),
,LOSA CATRE,300003,CONECTOR H/D,
,ACCESORIOS,400008,COPLA FUNDIDA FIJA,
,ACCESORIOS,400009,COPLA FUNDIDA FIJA (AND.),
,ACCESORIOS,400007,COPLA FUNDIDA GIRATORIA,
,ACCESORIOS,400006,COPLA ZINCADA FIJA,
,ACCESORIOS,400005,COPLA ZINCADA GIRATORIA,
,MOLDAJES EURO,888802,CUÑA COMPENSADOR,
,MOLDAJES ALL STEEL,900500,CUÑA HEMBRA,
,MOLDAJES ALL STEEL,900510,CUÑA MACHO,
,MOLDAJES EURO,880002,CUÑA HEMBRA D. P.  EURO,
,MOLDAJES EURO,880003,CUÑA MACHO D. P. EURO,
,ANDAMIOS FACHADA,183000,DIAGONAL GALVANIZADO L 2960,
,ANDAMIOS MULTIDIRECCIONAL,171730,"DIAGONAL PHORIZONTAL 2,30 MT",
,ANDAMIOS ESTANDAR ,171723,DIAGONAL STANDAR L2.5M,
,MURO CONTRATERRENO ALLSTEEL,000039,DOBLE CANAL L 1500,
,MURO CONTRATERRENO ALLSTEEL,000038,DOBLE CANAL L 3000,
,MURO CONTRATERRENO ALLSTEEL,000600,DOBLE CANAL MCT L 600,
,MOLDAJES EURO,880600,DOBLE PERFIL CIERRE MURO L 600,
,MOLDAJES EURO,880900,DOBLE PERFIL CIERRE MURO L 900,
,MOLDAJES EURO,881000,DOBLE PERFIL CIERRE MURO L 1000,
,MOLDAJES EURO,882000,DOBLE PERFIL CIERRE MURO L 2000,
,ACCESORIOS,621000,DOBLE PERFIL L 1000,
,ACCESORIOS,621500,DOBLE PERFIL L 1500,
,ACCESORIOS,622000,DOBLE PERFIL L 2000,
,ACCESORIOS,622500,DOBLE PERFIL L 2500,
,ACCESORIOS,623000,DOBLE PERFIL L 3000,
,ACCESORIOS,623500,DOBLE PERFIL L 3500,
,ACCESORIOS,624000,DOBLE PERFIL L 4000,
,ACCESORIOS,400013,ESCUADRA DOBLE PERFIL L=600*600,
,MOLDAJES ALL STEEL,706055,ESQ. EXT L 600X50X50,
